cat,案號,主管機關,名稱,類別,進度,說明
B03,1070281A,環境部,國道1號增設銜接台74線系統交流道環境影響說明書,說明書,通過審查,本書件為定稿本
B03,1070151A,環境部,復興區奎輝里1鄰枕頭山部落聯外道路工程環境影響說明書,說明書,通過審查,本書件為定稿本
B03,1070081T,臺中市,烏日區中75-1線道路拓寬工程環境影響說明書,說明書,退件/撤銷/駁回,本案依據臺中市政府環境保護局107…
B03,1070061N,屏東縣,縣道200線恆春至滿州路段及縣200甲線拓寬工程環境影響說明書,說明書,通過審查,
B03,1070031H,彰化縣,東彰道路（縣道137線改線）北段第一階段環境影響說明書,說明書,通過審查,本書件為107.09定稿本
B03,1070031T,臺中市,臺中市龍井區中部科學工業園區西南向聯外道路工程環境影響說明書,說明書,退件/撤銷/駁回,本案依據臺中市政府環境保護局107…
B03,1070011H,彰化縣,縣道148線溪湖外環道新闢工程,說明書,通過審查,本書件為107.10定稿本
B03,1060901A,環境部,新竹縣縣道122線43.5K(五峰鄉)路段改善計畫環境影響說明書（122線竹東至土場24K+000~50K+000段擴寬改善計畫環境影響說明書之替代方案）,說明書,通過審查,
B03,1060701A,環境部,台9線花東縱谷公路安全景觀大道計畫（臺東段）環境影響說明書,說明書,通過審查,原名為「台9線花東公路台東縣界至台…
B03,1060142T,臺中市,台中生活圈4號線大肚段路線環境影響評估報告書,評估報告書,通過審查,定稿本
B03,1060101T,臺中市,臺中市大肚區及南屯區華南路以東銜接特三號道路工程環境影響說明書,說明書,通過審查,定稿本
B03,1060073A,環境部,北宜高速公路頭城蘇澳段環境影響說明書環境影響差異分析報告（蘇澳服務區）,差異分析報告,審核修正通過,
B03,1060071E,新竹縣,北二高茄苳交流道通往新竹縣聯絡道路改善工程（A2及A3標）環境影響說明書,說明書,通過審查,
B03,1060061N,屏東縣,屏東市瑞光路一段延伸工程環境影響說明書,說明書,通過審查,
B03,1060021V,臺南市,下營南外環道路新闢工程環境影響說明書,說明書,通過審查,
B03,1050729A,環境部,國道1號甲線計畫第二階段環境影響評估範疇界定,範疇界定,,已完成範疇界定
B03,1050311A,環境部,國道1號甲線計畫環境影響說明書,說明書,進入二階,本書件為公開陳列版
B03,1050241A,環境部,國道3號龍潭路段增設交流道工程環境影響說明書,說明書,通過審查,本書件為定稿本
B03,1050101N,屏東縣,縣道187線黎明至水門段拓寬工程環境影響說明書,說明書,通過審查,
B03,1050031V,臺南市,南169線改道工程環境影響說明書,說明書,通過審查,
B03,1040881A,環境部,東西向快速公路台76線（原漢寶草屯線）台19線以西路段改線工程環境影響說明書,說明書,通過審查,
B03,1040679A,環境部,淡水河北側沿河平面道路工程（淡水河北側沿河快速道路第一期工程替代方案）第二階段環境影響評估範疇界定,範疇界定,,已完成範疇界定
B03,1040491A,環境部,台2線竹安橋改建、金馬橋拓寬及引道路基拓寬工程環境影響說明書,說明書,通過審查,
B03,1040111E,新竹縣,尖石鄉行政大樓新建聯外道路環境影響說明書,說明書,退件/撤銷/駁回,未定稿
B03,1040091S,新竹市,新竹市北二高茄苳交流道連絡道向東延伸新建工程環境影響說明書,說明書,退件/撤銷/駁回,
B03,1040081E,新竹縣,新竹縣台灣知識經濟旗艦園區連接118線連絡道新闢工程環境影響說明書,說明書,通過審查,
B03,1040051I,南投縣,「南投市祖師大橋連絡東草屯交流道新建道路」,說明書,審查中,此為初稿
B03,1040031I,南投縣,台3線211K~223.5K南投名間段改善道路壅塞增闢新線案(南投市段),說明書,通過審查,此為定稿本
B03,1040021E,新竹縣,寶山水庫跨湖橋梁興建工程環境影響說明書,說明書,通過審查,
B03,1040021I,南投縣,中寮鄉投22線連接投26線道路改善工程環境影響說明書,說明書,通過審查,此為定稿本
B03,1040012T,臺中市,範疇界定:台中生活圈四號線大肚段路線環境影響說明書,評估報告書,進入二階,
B03,1040011V,臺南市,楠西區南186線3k+767~4k+069危險路段改善工程環境影響說明書,說明書,通過審查,
B03,1031089A,環境部,國道7號高雄路段計畫第二階段環境影響評估範疇界定,範疇界定,,已完成範疇界定（會議紀錄請至本署環…
B03,1030581A,環境部,台3線37K武嶺橋拓寬改善計畫環境影響說明書,說明書,通過審查,
B03,1030381T,臺中市,國道4號神岡系統交流道跨越大甲溪月眉西側南向聯絡道環境影響說明書,說明書,通過審查,定稿本
B03,1030341X,高雄市,田寮斗姥廟至高14線叉路口道路拓寬工程環境影響說明書,說明書,通過審查,定稿本201601
B03,1030061X,高雄市,國道十號燕巢交流道延伸高46線銜接186甲線道路工程案開發計畫環境影響說明書,說明書,有條件通過,
B03,1030011E,新竹縣,台1線替代道路(新豐~新竹公道三、四)工程環境影響說明書,說明書,通過審查,
B03,1030011K,嘉義縣,阿里山觀光大道新闢工程,說明書,通過審查,本書件為定稿本
B03,1020311A,環境部,國道2號大園交流道至台15線新闢高速公路計畫環境影響說明書（原名為國道2號大園交流道至台61線新闢高速公路計畫環境影響說明書）,說明書,通過審查,
B03,1020201X,高雄市,茄萣區1-4號道路(莒光路南段)開闢工程環境影響說明書,說明書,通過審查,定稿本 105.12
B03,1020191E,新竹縣,新竹科學工業園區北二高寶山交流道聯絡道拓寬工程環境影響說明書,說明書,有條件通過,
B03,1020121T,臺中市,東勢-豐原生活圈快速道路(原「國道4號豐勢交流道聯絡道計畫」)環境影響說明書,說明書,進入二階,二階環評程序公開揭示版
B03,1020101S,新竹市,新竹市茄苳接西濱聯絡道路新闢工程環境影響說明書,說明書,有條件通過,
B03,1020041H,彰化縣,彰化152線拓寬工程環境影響說明書,說明書,有條件通過,
B03,1020041V,臺南市,臺南都會區北外環道路第2、3期工程環境影響說明書,說明書,有條件通過,
B03,1010531A,環境部,國道7號高雄路段計畫環境影響說明書,說明書,進入二階,本書件為公開陳列版
B03,1010301F,苗栗縣,泰安(清安)至南庄(八卦力)新闢道路環境影響說明書,說明書,有條件通過,本書件為定稿本
B03,1010091E,新竹縣,北二高茄苳交流道往新竹縣連絡道工程,說明書,有條件通過,
B03,1010051E,新竹縣,115線20K+016~25K+950段拓寬工程環境影響說明書,說明書,有條件通過,
B03,1010031Z,金門縣,「金門大橋興建工程計畫」環境影響說明書,說明書,有條件通過,
B03,1010011E,新竹縣,關西外環道新闢工程環境影響說明書,說明書,有條件通過,
B03,1010011H,彰化縣,員林至田中新闢道路工程環境影響說明書,說明書,有條件通過,
B03,1000741A,環境部,台16線19K～25K段公路改善工程環境影響說明書,說明書,有條件通過,
B03,1000661B,新北市,瑞芳區三貂嶺至平溪區南山里新闢聯絡道路計畫,說明書,不應開發,
B03,1000598A,環境部,西濱快速公路（台61線）員林大排至西濱大橋新建工程計畫環境影響說明書─201K～208K芳苑至大城路段替代方案可行性評估報告,其他,審核修正通過,
B03,1000111F,苗栗縣,台十三甲線豐湖國小至冠軍瓷磚路段替代道路工程環境影響說明書,說明書,有條件通過,本書件為定稿本
B03,0991441A,環境部,台9線蘇花公路山區路段改善計畫（蘇澳～東澳、南澳～和平、和中～大清水）,說明書,有條件通過,
B03,0991411A,環境部,台中市東山路縣道129線(D標末至中興嶺段)拓寬工程環境影響說明書,說明書,有條件通過,
B04,1120641A,環境部,宜蘭至羅東鐵路高架化計畫環境影響說明書,說明書,審查中,本書件為112年10月版初稿本
B04,1120341A,環境部,宜蘭線龜山~外澳間路線改善工程環境影響說明書,說明書,審查中,本書件為112年6月初稿
B04,1110741A,環境部,高鐵延伸宜蘭計畫環境影響說明書,說明書,審查中,本書件為111年9月公開陳列版
B04,1110251A,環境部,高鐵延伸屏東計畫環境影響說明書,說明書,進入二階,本書件為111年5月公開陳列版
B04,1100781A,環境部,嘉義縣市鐵路高架化延伸計畫環境影響說明書,說明書,通過審查,本書件為定稿本
B04,1100614A,環境部,台北市區鐵路地下化東延南港工程環境影響說明書第二次變更內容對照表（臺鐵捷運化後續計畫--樟樹灣-南港間擴建三軌工程停止營運期間環境監測）,變更內容對照表,不同意變更,本書件為110年11月修訂本
B04,1090012A,環境部,花東地區鐵路雙軌電氣化計畫環境影響評估報告書,評估報告書,通過審查,
B04,1080711A,環境部,臺鐵都會區捷運化桃園段地下化建設計畫（原『台鐵都會區捷運化桃園段高架化建設計畫』變更）環境影響說明書,說明書,通過審查,
B04,1080561A,環境部,阿里山森林鐵路42號隧道計畫環境影響說明書,說明書,通過審查,本件為定稿本
B04,1060801A,環境部,花東地區鐵路雙軌電氣化計畫環境影響說明書,說明書,進入二階,本書件為公開揭示版
B04,1120641A,環境部,宜蘭至羅東鐵路高架化計畫環境影響說明書,說明書,審查中,本書件為112年10月版初稿本
B04,1120341A,環境部,宜蘭線龜山~外澳間路線改善工程環境影響說明書,說明書,審查中,本書件為112年6月初稿
B04,1110741A,環境部,高鐵延伸宜蘭計畫環境影響說明書,說明書,審查中,本書件為111年9月公開陳列版
B04,1110251A,環境部,高鐵延伸屏東計畫環境影響說明書,說明書,進入二階,本書件為111年5月公開陳列版
B04,1100781A,環境部,嘉義縣市鐵路高架化延伸計畫環境影響說明書,說明書,通過審查,本書件為定稿本
B04,1100614A,環境部,台北市區鐵路地下化東延南港工程環境影響說明書第二次變更內容對照表（臺鐵捷運化後續計畫--樟樹灣-南港間擴建三軌工程停止營運期間環境監測）,變更內容對照表,不同意變更,本書件為110年11月修訂本
B04,1090012A,環境部,花東地區鐵路雙軌電氣化計畫環境影響評估報告書,評估報告書,通過審查,
B04,1080711A,環境部,臺鐵都會區捷運化桃園段地下化建設計畫（原『台鐵都會區捷運化桃園段高架化建設計畫』變更）環境影響說明書,說明書,通過審查,
B04,1080561A,環境部,阿里山森林鐵路42號隧道計畫環境影響說明書,說明書,通過審查,本件為定稿本
B04,1060801A,環境部,花東地區鐵路雙軌電氣化計畫環境影響說明書,說明書,進入二階,本書件為公開揭示版
B04,1120641A,環境部,宜蘭至羅東鐵路高架化計畫環境影響說明書,說明書,審查中,本書件為112年10月版初稿本
B04,1120341A,環境部,宜蘭線龜山~外澳間路線改善工程環境影響說明書,說明書,審查中,本書件為112年6月初稿
B04,1110741A,環境部,高鐵延伸宜蘭計畫環境影響說明書,說明書,審查中,本書件為111年9月公開陳列版
B04,1110251A,環境部,高鐵延伸屏東計畫環境影響說明書,說明書,進入二階,本書件為111年5月公開陳列版
B04,1100781A,環境部,嘉義縣市鐵路高架化延伸計畫環境影響說明書,說明書,通過審查,本書件為定稿本
B04,1100614A,環境部,台北市區鐵路地下化東延南港工程環境影響說明書第二次變更內容對照表（臺鐵捷運化後續計畫--樟樹灣-南港間擴建三軌工程停止營運期間環境監測）,變更內容對照表,不同意變更,本書件為110年11月修訂本
B04,1090012A,環境部,花東地區鐵路雙軌電氣化計畫環境影響評估報告書,評估報告書,通過審查,
B04,1080711A,環境部,臺鐵都會區捷運化桃園段地下化建設計畫（原『台鐵都會區捷運化桃園段高架化建設計畫』變更）環境影響說明書,說明書,通過審查,
B04,1080561A,環境部,阿里山森林鐵路42號隧道計畫環境影響說明書,說明書,通過審查,本件為定稿本
B04,1060801A,環境部,花東地區鐵路雙軌電氣化計畫環境影響說明書,說明書,進入二階,本書件為公開揭示版
B04,0860601A,環境部,高鐵新竹車站特定區開發環境影響說明書,說明書,進入二階,
B04,0850731A,環境部,台南市區鐵路地下化工程環境影響說明書(定稿本),說明書,有條件通過,
B04,0850161A,環境部,交通部台北市區鐵路地下化東延南港工程環境影響說明書,說明書,有條件通過,
B04,0830242A,環境部,高速鐵路環境影響評估報告,評估報告書,有條件通過,繳費日期僅供參考
B05,0780342A,環境部,台北都會區大眾捷運系統核定路網環境影響評估報告,評估報告書,有條件通過,
B05,0770092A,環境部,臺北都會區大眾捷運系統行政院核定路網 --板橋線暨中和線環境影響評估報告,評估報告書,有條件通過,
B05,1120191A,環境部,臺南市先進運輸（大眾捷運）系統第一期藍線環境影響說明書,說明書,審查中,本書件為112年8月修正本
B05,1111111A,環境部,捷運三鶯線延伸桃園八德段工程環境影響說明書,說明書,通過審查,本書件為112年10月定稿本
B05,1110991A,環境部,基隆南港間通勤軌道建設計畫第一階段路線環境影響說明書,說明書,通過審查,本書件為112年6月定稿本
B05,1110621A,環境部,桃園捷運綠線延伸中壢計畫環境影響說明書,說明書,通過審查,本書件為112年2月定稿本
B05,1110271A,環境部,高雄都會區大眾捷運系統小港林園線環境影響說明書,說明書,通過審查,本書件定稿本
B05,1110191A,環境部,高雄都會區大眾捷運系統岡山路竹延伸線(第二B階段)環境影響說明書,說明書,通過審查,本書件為定稿本
B05,1100901A,環境部,桃園都會區大眾捷運系統棕線(桃園-龜山-迴龍段)環境影響說明書,說明書,通過審查,本書件為111年11月定稿本
B05,1100761A,環境部,臺中都會區大眾捷運系統藍線建設計畫環境影響說明書,說明書,通過審查,111年11月定稿
B05,1100351A,環境部,臺北都會區大眾捷運系統環狀線東環段環境影響說明書,說明書,通過審查,本書件為111年7月定稿本
B05,1100091A,環境部,高雄都會區大眾捷運系統都會線(黃線)建設計畫環境影響說明書,說明書,通過審查,本書件為定稿本
B05,1120191A,環境部,臺南市先進運輸（大眾捷運）系統第一期藍線環境影響說明書,說明書,審查中,本書件為112年8月修正本
B05,1111111A,環境部,捷運三鶯線延伸桃園八德段工程環境影響說明書,說明書,通過審查,本書件為112年10月定稿本
B05,1110991A,環境部,基隆南港間通勤軌道建設計畫第一階段路線環境影響說明書,說明書,通過審查,本書件為112年6月定稿本
B05,1110621A,環境部,桃園捷運綠線延伸中壢計畫環境影響說明書,說明書,通過審查,本書件為112年2月定稿本
B05,1110271A,環境部,高雄都會區大眾捷運系統小港林園線環境影響說明書,說明書,通過審查,本書件定稿本
B05,1110191A,環境部,高雄都會區大眾捷運系統岡山路竹延伸線(第二B階段)環境影響說明書,說明書,通過審查,本書件為定稿本
B05,1100901A,環境部,桃園都會區大眾捷運系統棕線(桃園-龜山-迴龍段)環境影響說明書,說明書,通過審查,本書件為111年11月定稿本
B05,1100761A,環境部,臺中都會區大眾捷運系統藍線建設計畫環境影響說明書,說明書,通過審查,111年11月定稿
B05,1100351A,環境部,臺北都會區大眾捷運系統環狀線東環段環境影響說明書,說明書,通過審查,本書件為111年7月定稿本
B05,1100091A,環境部,高雄都會區大眾捷運系統都會線(黃線)建設計畫環境影響說明書,說明書,通過審查,本書件為定稿本
B05,1120191A,環境部,臺南市先進運輸（大眾捷運）系統第一期藍線環境影響說明書,說明書,審查中,本書件為112年8月修正本
B05,1111111A,環境部,捷運三鶯線延伸桃園八德段工程環境影響說明書,說明書,通過審查,本書件為112年10月定稿本
B05,1110991A,環境部,基隆南港間通勤軌道建設計畫第一階段路線環境影響說明書,說明書,通過審查,本書件為112年6月定稿本
B05,1110621A,環境部,桃園捷運綠線延伸中壢計畫環境影響說明書,說明書,通過審查,本書件為112年2月定稿本
B05,1110271A,環境部,高雄都會區大眾捷運系統小港林園線環境影響說明書,說明書,通過審查,本書件定稿本
B05,1110191A,環境部,高雄都會區大眾捷運系統岡山路竹延伸線(第二B階段)環境影響說明書,說明書,通過審查,本書件為定稿本
B05,1100901A,環境部,桃園都會區大眾捷運系統棕線(桃園-龜山-迴龍段)環境影響說明書,說明書,通過審查,本書件為111年11月定稿本
B05,1100761A,環境部,臺中都會區大眾捷運系統藍線建設計畫環境影響說明書,說明書,通過審查,111年11月定稿
B05,1100351A,環境部,臺北都會區大眾捷運系統環狀線東環段環境影響說明書,說明書,通過審查,本書件為111年7月定稿本
B05,1100091A,環境部,高雄都會區大眾捷運系統都會線(黃線)建設計畫環境影響說明書,說明書,通過審查,本書件為定稿本
B05,0930431A,環境部,台中都會區大眾捷運系統烏日文心北屯線環境影響說明書,說明書,有條件通過,
B05,0930281A,環境部,捷運系統土城線延伸頂埔地區環境影響說明書,說明書,有條件通過,
B05,0930091B,新北市,捷運新店線新店機廠聯合開發案,說明書,有條件通過,
B05,0930021A,環境部,臺灣桃園國際機場聯外捷運系統臺灣桃園國際機場至三重站段建設計畫環境影響說明書,說明書,有條件通過,
B05,0920411A,環境部,中正國際機場聯外捷運系統建設計畫環境影響說明書,說明書,退件/撤銷/駁回,來函撤回92.12
B05,0920121A,環境部,捷運安坑線環境影響說明書,說明書,有條件通過,
B05,0910351A,環境部,民間參與台北捷運系統環狀線先期規劃環境影響說明書,說明書,有條件通過,
B05,0910201A,環境部,台北捷運系統汐南線之民間參與可行性研究及先期規劃環境影響說明書,說明書,不應開發,
B05,0901302A,環境部,桃園都會區大眾捷運系統規劃環境影響評估報告書,評估報告書,有條件通過,
B05,0900791A,環境部,基隆南港大眾捷運系統環境影響說明書,說明書,退件/撤銷/駁回,92.5.5發文駁回
B05,0891002A,環境部,新竹都會區大眾捷運系統規劃環境影響評估報告書,評估報告書,有條件通過,
B05,0890422A,環境部,台中都會區大眾捷運系統環境影響評估報告書,評估報告書,有條件通過,
B05,0881181A,環境部,中正國際機場至台北捷運系統建設計畫環境影響說明書,說明書,有條件通過,
B05,0870311A,環境部,台北都會區大眾捷運系統淡海線環境影響說明書,說明書,廢止結論,109年2月4日公告廢止審查結論
B05,0870242A,環境部,台南都會區大眾捷運系統規劃環境影響評估報告書,評估報告書,廢止結論,
B05,0870061D,桃園市,桃園都會區大眾捷運系統規劃,說明書,審查中,本案書件摘要依860611A案內容…
B05,0860611A,環境部,桃園都會區大眾捷運系統規劃環境影響說明書,說明書,進入二階,
B05,0860441A,環境部,新竹都會區大眾捷運系統規劃環境影響說明書,說明書,進入二階,
B05,0860281A,環境部,台北都會區大眾捷運系統捷運南港線東延段工程環境影響說明書,說明書,有條件通過,
B05,0840251A,環境部,台南都會區大眾捷運系統規劃環境影響說明書,說明書,進入二階,
B05,0840222A,環境部,台北都會區大眾捷運系統後續發展路網環境影響評估--蘆洲支線環境影響評估報告書,評估報告書,有條件通過,
B05,0840212A,環境部,台北都會區大眾捷運系統後續發展路網環境影響評估--新莊線環境影響評估報告書,評估報告書,有條件通過,承辦人及繳費日期僅供參考
B05,0840202A,環境部,台北都會區大眾捷運系統後續發展路網環境影響評估--信義線環境影響評估報告書,評估報告書,有條件通過,
B05,0830191A,環境部,台中都會區大眾捷運系統規劃環境說明書,說明書,有條件通過,
B05,0830182A,環境部,台北都會區大眾捷運系統後續發展路網環境影響評估--松山線環境影響評估報告書,評估報告書,有條件通過,
B05,0820742A,環境部,中正國際機場至松山機場間新交通捷運線工程環境影響評估書,評估報告書,有條件通過,
B05,0820732A,環境部,台北市都會區大眾捷運系統內湖線環境影響評估報告書,評估報告書,有條件通過,
B05,0820512A,環境部,台北都會區大眾捷運系統--後續發展路網環境影響評估台北車站地區與中華路地下街環境影響評估報告書,評估報告書,有條件通過,
B05,0820052A,環境部,高雄都會區大眾捷運系統紅、橘線基本路網評估報告書,評估報告書,有條件通過,
B05,0790112A,環境部,台北市都會區大眾捷運系統後續發展路網環境影響評估報告(土城延伸線環境影響評估說明),評估報告書,有條件通過,
B06,1110391A,環境部,臺北港南碼頭區二期填海造地開發計畫環境影響說明書,說明書,進入二階,本書件為公開陳列版
B06,1100122A,環境部,臺中港外港區擴建計畫(第一期)環境影響評估報告書初稿,評估報告書,審查中,本件為110年6月修訂本
B06,1070521A,環境部,興海漁港擴建計畫環境影響說明書,說明書,通過審查,本書件為定稿本
B06,1050431A,環境部,料羅港區北碼頭區圍堤造地工程環境影響說明書,說明書,通過審查,本書件為定稿本
B06,1000953A,環境部,馬祖福澳港碼頭擴建工程第二次環境影響差異分析報告,差異分析報告,審核修正通過,
B06,0981871A,環境部,臺北港南外堤內側碼頭區填海造陸開發計畫環境影響說明書,說明書,有條件通過,
B06,0981031A,環境部,台中發電廠第2階段煤灰填海工程環境影響說明書,說明書,有條件通過,
B06,0980801A,環境部,彰化縣西南角(大城)海埔地工業區工業專用港開發計畫環境影響說明書,說明書,進入二階,
B06,0960121A,環境部,雲林離島式基礎工業區新興工業港佈置規劃環境影響說明書,說明書,退件/撤銷/駁回,本案業於100年1月19日環署綜字…
B06,0950261A,環境部,大鵬灣國家風景區BOT第一期(遊一區遊艇港區及停一區)開發計畫環境影響說明書,說明書,退件/撤銷/駁回,大鵬灣國際開發股份有限公司95年1…
B06,1110391A,環境部,臺北港南碼頭區二期填海造地開發計畫環境影響說明書,說明書,進入二階,本書件為公開陳列版
B06,1100122A,環境部,臺中港外港區擴建計畫(第一期)環境影響評估報告書初稿,評估報告書,審查中,本件為110年6月修訂本
B06,1070521A,環境部,興海漁港擴建計畫環境影響說明書,說明書,通過審查,本書件為定稿本
B06,1050431A,環境部,料羅港區北碼頭區圍堤造地工程環境影響說明書,說明書,通過審查,本書件為定稿本
B06,1000953A,環境部,馬祖福澳港碼頭擴建工程第二次環境影響差異分析報告,差異分析報告,審核修正通過,
B06,0981871A,環境部,臺北港南外堤內側碼頭區填海造陸開發計畫環境影響說明書,說明書,有條件通過,
B06,0981031A,環境部,台中發電廠第2階段煤灰填海工程環境影響說明書,說明書,有條件通過,
B06,0980801A,環境部,彰化縣西南角(大城)海埔地工業區工業專用港開發計畫環境影響說明書,說明書,進入二階,
B06,0960121A,環境部,雲林離島式基礎工業區新興工業港佈置規劃環境影響說明書,說明書,退件/撤銷/駁回,本案業於100年1月19日環署綜字…
B06,0950261A,環境部,大鵬灣國家風景區BOT第一期(遊一區遊艇港區及停一區)開發計畫環境影響說明書,說明書,退件/撤銷/駁回,大鵬灣國際開發股份有限公司95年1…
B06,1110391A,環境部,臺北港南碼頭區二期填海造地開發計畫環境影響說明書,說明書,進入二階,本書件為公開陳列版
B06,1100122A,環境部,臺中港外港區擴建計畫(第一期)環境影響評估報告書初稿,評估報告書,審查中,本件為110年6月修訂本
B06,1070521A,環境部,興海漁港擴建計畫環境影響說明書,說明書,通過審查,本書件為定稿本
B06,1050431A,環境部,料羅港區北碼頭區圍堤造地工程環境影響說明書,說明書,通過審查,本書件為定稿本
B06,1000953A,環境部,馬祖福澳港碼頭擴建工程第二次環境影響差異分析報告,差異分析報告,審核修正通過,
B06,0981871A,環境部,臺北港南外堤內側碼頭區填海造陸開發計畫環境影響說明書,說明書,有條件通過,
B06,0981031A,環境部,台中發電廠第2階段煤灰填海工程環境影響說明書,說明書,有條件通過,
B06,0980801A,環境部,彰化縣西南角(大城)海埔地工業區工業專用港開發計畫環境影響說明書,說明書,進入二階,
B06,0960121A,環境部,雲林離島式基礎工業區新興工業港佈置規劃環境影響說明書,說明書,退件/撤銷/駁回,本案業於100年1月19日環署綜字…
B06,0950261A,環境部,大鵬灣國家風景區BOT第一期(遊一區遊艇港區及停一區)開發計畫環境影響說明書,說明書,退件/撤銷/駁回,大鵬灣國際開發股份有限公司95年1…
B06,0840811A,環境部,基隆外海新港區擴建工程計畫,說明書,有條件通過,因資料老舊，故繳費日期僅供參考
B06,0840801A,環境部,基隆外海新港區擴建工程計畫,說明書,通過審查,因資料老舊，故繳費日期僅供參考
B06,0840552A,環境部,高雄港第73號碼頭興建計畫環境影響評估報告,評估報告書,有條件通過,補充修訂本
B06,0830732A,環境部,和平水泥專用港開發計畫環境影響評估書,評估報告書,有條件通過,
B06,0820791A,環境部,台中港儲運部裝設包裝機工程,說明書,有條件通過,
B06,0820471A,環境部,和平水泥專用港開發計畫環境說明書,說明書,進入二階,
B06,0820081A,環境部,高雄煉油總廠大林廠102號淺水碼頭興建計畫環境說明書,說明書,有條件通過,
B06,0810181A,環境部,籌建烯烴廠及相關工業專用港計畫環境說明書,說明書,有條件通過,
B06,0810168A,環境部,觀音亭遊艇港闢建環境影響說明（期末報告）,其他,其他,
B06,0810151A,環境部,中國石油股份有限公司高雄煉油總廠大林廠102號淺水碼頭興建計畫環境說明書,說明書,有條件通過,
B07,1100641A,環境部,北竿機場跑道改善計畫環境影響說明書,說明書,通過審查,本書件為112年6月份確認本
B07,1100501A,環境部,高雄國際機場新航廈工程計畫環境影響說明書,說明書,通過審查,本件為定稿本
B07,1081052A,環境部,臺灣桃園國際機場第三跑道環境影響評估報告書,評估報告書,通過審查,本件為定稿本
B07,1070039A,環境部,臺灣桃園國際機場第三跑道第二階段環境影響評估範疇界定,範疇界定,,已完成範疇界定
B07,1060381A,環境部,臺灣桃園國際機場第三跑道環境影響說明書,說明書,進入二階,本書件為公開陳列版
B07,1030861A,環境部,臺灣桃園國際機場第三航站區環境影響說明書,說明書,通過審查,
B07,0970861A,環境部,內政部空中勤務總隊第二大隊勤務廳舍新建工程環境影響說明書,說明書,有條件通過,
B07,0900651A,環境部,屏東航空站設立計畫環境影響說明書,說明書,廢止結論,本案於111年6月20日廢止審查結…
B07,0891041A,環境部,桃園國際機場二期後續計畫環境影響說明書(原為中正國際機場二期後續計畫環境影響說明書),說明書,有條件通過,
B07,0890381A,環境部,南投縣日月潭直昇機飛行場環境影響說明書,說明書,有條件通過,
B07,1100641A,環境部,北竿機場跑道改善計畫環境影響說明書,說明書,通過審查,本書件為112年6月份確認本
B07,1100501A,環境部,高雄國際機場新航廈工程計畫環境影響說明書,說明書,通過審查,本件為定稿本
B07,1081052A,環境部,臺灣桃園國際機場第三跑道環境影響評估報告書,評估報告書,通過審查,本件為定稿本
B07,1070039A,環境部,臺灣桃園國際機場第三跑道第二階段環境影響評估範疇界定,範疇界定,,已完成範疇界定
B07,1060381A,環境部,臺灣桃園國際機場第三跑道環境影響說明書,說明書,進入二階,本書件為公開陳列版
B07,1030861A,環境部,臺灣桃園國際機場第三航站區環境影響說明書,說明書,通過審查,
B07,0970861A,環境部,內政部空中勤務總隊第二大隊勤務廳舍新建工程環境影響說明書,說明書,有條件通過,
B07,0900651A,環境部,屏東航空站設立計畫環境影響說明書,說明書,廢止結論,本案於111年6月20日廢止審查結…
B07,0891041A,環境部,桃園國際機場二期後續計畫環境影響說明書(原為中正國際機場二期後續計畫環境影響說明書),說明書,有條件通過,
B07,0890381A,環境部,南投縣日月潭直昇機飛行場環境影響說明書,說明書,有條件通過,
B07,1100641A,環境部,北竿機場跑道改善計畫環境影響說明書,說明書,通過審查,本書件為112年6月份確認本
B07,1100501A,環境部,高雄國際機場新航廈工程計畫環境影響說明書,說明書,通過審查,本件為定稿本
B07,1081052A,環境部,臺灣桃園國際機場第三跑道環境影響評估報告書,評估報告書,通過審查,本件為定稿本
B07,1070039A,環境部,臺灣桃園國際機場第三跑道第二階段環境影響評估範疇界定,範疇界定,,已完成範疇界定
B07,1060381A,環境部,臺灣桃園國際機場第三跑道環境影響說明書,說明書,進入二階,本書件為公開陳列版
B07,1030861A,環境部,臺灣桃園國際機場第三航站區環境影響說明書,說明書,通過審查,
B07,0970861A,環境部,內政部空中勤務總隊第二大隊勤務廳舍新建工程環境影響說明書,說明書,有條件通過,
B07,0900651A,環境部,屏東航空站設立計畫環境影響說明書,說明書,廢止結論,本案於111年6月20日廢止審查結…
B07,0891041A,環境部,桃園國際機場二期後續計畫環境影響說明書(原為中正國際機場二期後續計畫環境影響說明書),說明書,有條件通過,
B07,0890381A,環境部,南投縣日月潭直昇機飛行場環境影響說明書,說明書,有條件通過,
B08,0840011I,南投縣,南投市彰峰開發公司土石採取展期申請案 環境影響說明書,說明書,有條件通過,
B08,0830932A,環境部,世易花蓮水泥廠建設計畫環境影響評估報告,評估報告書,有條件通過,
B08,0820652A,環境部,萬榮水泥廠建廠計畫環境影響評估定稿報告,評估報告書,有條件通過,
B08,0790442A,環境部,怡岑水泥股份有限公司花蓮水泥廠建廠計畫環境影響評估,評估報告書,有條件通過,
B08,0790162A,環境部,萬榮水泥廠建廠計畫環境影響評估報告書,評估報告書,不應開發,
B08,0790152A,環境部,花蓮縣和平水泥專業區環境影響評估及和平村遷移安置規劃專題報告(三)環境影響評估報告,評估報告書,有條件通過,
B08,0780241A,環境部,新竹縣芎林鄉地區陸上砂石堆積層開發計畫環境影響說明書,說明書,有條件通過,
B08,0770081A,環境部,台北縣樹林鎮羌子寮及桃園縣龜山鄉尖山腳地區路上砂石堆積層開發規劃環境影響說明書,說明書,有條件通過,
